"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\about.html", "HTML", 53, 0, 0, 0, 6, 59
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\amenities.html", "HTML", 34, 0, 0, 1, 4, 39
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\global.css", "CSS", 0, 47, 0, 7, 17, 71
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\nav.css", "CSS", 0, 45, 0, 7, 14, 66
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\reservations.css", "CSS", 0, 0, 0, 0, 1, 1
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\table.css", "CSS", 0, 18, 0, 0, 3, 21
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\index.html", "HTML", 45, 0, 0, 0, 4, 49
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\js\amenities.js", "JavaScript", 0, 0, 24, 1, 4, 29
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\js\reservations.js", "JavaScript", 0, 0, 36, 1, 13, 50
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\reservations.html", "HTML", 74, 0, 0, 0, 7, 81
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\roomrates.html", "HTML", 88, 0, 0, 0, 2, 90
"Total", "-", 294, 110, 60, 17, 75, 556